Date,open,high,low,Value,volume
1962-01-02,0.0549,0.0564,0.0549,0.0549,1753
1962-01-03,0.0541,0.0541,0.0529,0.0537,3424
1962-01-04,0.0538,0.0545,0.0538,0.0541,1837
1962-01-05,0.0541,0.0548,0.0528,0.0529,3091
1962-01-08,0.0525,0.0525,0.0514,0.0524,4431
1962-01-09,0.0524,0.0536,0.0519,0.0533,2089
1962-01-10,0.0533,0.0544,0.0528,0.0536,3511
1962-01-11,0.0536,0.0541,0.0533,0.0541,1336
1962-01-12,0.0541,0.0541,0.0532,0.0537,1921
1962-01-15,0.0536,0.0536,0.0531,0.0532,1337
1962-01-16,0.053,0.053,0.0521,0.0522,2422
1962-01-17,0.0522,0.0522,0.0506,0.0506,3426
1962-01-18,0.0506,0.0509,0.0494,0.0496,5769
1962-01-19,0.05,0.0511,0.05,0.0511,3173
1962-01-22,0.0511,0.0516,0.0506,0.0515,2338
1962-01-23,0.0514,0.0514,0.0504,0.0504,1670
1962-01-24,0.0504,0.0506,0.049,0.0499,5681
1962-01-25,0.0499,0.0507,0.0495,0.0495,3425
1962-01-26,0.0495,0.0495,0.0487,0.049,3428
1962-01-29,0.049,0.0491,0.0489,0.049,669
1962-01-30,0.0489,0.0493,0.0487,0.0487,3422
1962-01-31,0.0489,0.0507,0.0489,0.0507,3842
1962-02-01,0.0511,0.0519,0.0511,0.0511,3089
1962-02-02,0.0512,0.0517,0.0503,0.0517,2508
1962-02-05,0.0517,0.0517,0.0513,0.0517,836
1962-02-06,0.0517,0.0517,0.051,0.051,1504
1962-02-07,0.051,0.0513,0.051,0.0513,418
1962-02-08,0.0513,0.0517,0.0507,0.0514,1671
1962-02-09,0.0514,0.0517,0.0512,0.0517,1588
1962-02-12,0.0517,0.0518,0.0513,0.0513,669
1962-02-13,0.0513,0.0516,0.0513,0.0513,1422
1962-02-14,0.0512,0.0512,0.0503,0.0503,1420
1962-02-15,0.0503,0.0507,0.05,0.05,1419
1962-02-16,0.05,0.0509,0.05,0.05,2588
1962-02-19,0.0505,0.0509,0.0505,0.0509,753
